libretro-pcsx2 17053-2
libretro-picodrive 2590-1
libretro-play 8333-1
libretro-ppsspp 40927-1
libretro-retrodream 1104-2
libretro-sameboy 1720-3
libretro-scummvm 156045-1
libretro-shaders-slang 1569-1
libretro-snes9x 1:2649-1
libretro-swanstation-git r5882.37cd87e-1
libretro-yabause 3342-2
libva-nvidia-driver-git 0.0.12.r23.g68efa33-1
libva-utils 2.22.0-1
libvirt 1:10.8.0-1
light-git 1.2.2.r6.gd717f1c-1
linux-firmware 20241017.22a6c7dc-1
linux-zen 6.11.4.zen1-1
linux-zen-headers 6.11.4.zen1-1
lldb 18.1.8-1
lrzip 0.651-3
lshw B.02.20-1
lua-sec 2:1.3.2-1
luarocks 3.11.1-2
lynx 2.9.2-1
man-db 2.13.0-1
man-pages 6.9.1-1
mangal-bin 4.0.6-2
mangohud 0.7.2-2
mdcat 2.5.0-1
megasync-headless v3.11.1.0.g37a619794-1
melody 0.19.0-1
mesa-utils 9.0.0-5
minecraft-launcher 1:1.0.1221-3
mkinitcpio-firmware 1.4.0-1
mplayer 38542-3
mpv 1:0.39.0-1
mpv-mpris 1.1-2
mtr 0.95-6
namcap 3.5.2-2
nasm 2.16.03-1
nautilus 47.0-3
ncdu 2.6-1
neofetch 7.1.0-2
neovide 0.13.3-3
neovim 0.10.2-2
neovim-symlinks 5-1
net-tools 2.10-3
networkmanager 1.50.0-1
networkmanager-openvpn 1.12.0-1
nftables 1:1.1.1-1
nm-connection-editor 1.36.0-1
nmap 7.95-1
nnn-nerd 5.0-1
noto-fonts 1:24.9.1-1
noto-fonts-cjk 20230817-2
npm 10.9.0-1
nss-mdns 0.15.1-2
nushell 0.99.0-1
nvidia-dkms 560.35.03-16
nvidia-settings 560.35.03-1
nwg-look 0.2.7-1
nyaa 0.9.1-1
obs-studio 30.2.1-1
obsidian 1.7.4-1
oha 1.4.6-1
openbsd-netcat 1.226_1-2
openrgb 0.9-4
openssh 9.9p1-1
openvpn-update-systemd-resolved 1.3.0-4
otf-aurulent-nerd 3.2.1-2
otf-codenewroman-nerd 3.2.1-2
otf-comicshanns-nerd 3.2.1-2
otf-droid-nerd 3.2.1-2
otf-firamono-nerd 3.2.1-2
otf-hasklig-nerd 3.2.1-2
otf-hermit-nerd 3.2.1-2
otf-opendyslexic-nerd 3.2.1-2
otf-overpass-nerd 3.2.1-2
overdue 1.1.1-1
paccat 1.3.0-1
packer 1.11.2-1
pacman-contrib 1.10.6-2
