powertop 2.15-2
preload 0.6.4-9
prettier 3.3.3-1
pv 1.8.14-1
python-aiodns 3.2.0-2
python-aiohttp 3.10.5-1
python-argcomplete 3.4.0-1
python-beautifulsoup4 4.12.3-2
python-black 24.10.0-1
python-brotli 1.1.0-2
python-cchardet 2.1.7-6
python-certifi 2024.08.30-1
python-chevron 0.14.0-1
python-colorama 0.4.6-3
python-croniter 3.0.3-1
python-curio 1.6-4
python-dnspython 1:2.6.1-1
python-idna 3.8-1
python-mutagen 1.47.0-2
python-pillow 10.4.0-1
python-pip 24.2-1
python-pipx 1.6.0-1
python-poetry 1.8.3-1
python-pycryptodome 3.21.0-1
python-pycryptodomex 3.20.0-1
python-pyopenssl 24.2.1-1
python-pyqt5 5.15.11-1
python-pysocks 1.7.1-9
python-pyxdg 0.28-3
python-requests-toolbelt 1.0.0-2
python-sniffio 1.3.1-3
python-trio 0.26.2-1
qbittorrent 5.0.0-1
qgnomeplatform-qt5 0.9.2-1
qgnomeplatform-qt6 0.9.2-1
qt5-styleplugins 5.0.0.20170311-35
qt5-wayland 5.15.15+kde+r60-1
qt5ct 1.8-2
qt6-wayland 6.8.0-1
qt6ct 0.9-11
ranger 1.9.3-11
rebuild-detector 4.4.4-1
reflector 2023-2
retroarch 1.19.1-2
ripgrep 14.1.1-1
rkhunter 1.4.6-3
rofi-lbonn-wayland-git 1.7.5.wayland3.r27.g142e7807-1
rofimoji 6.5.0-1
rust-docs 1:1.81.0-1
rustup 1.27.1-1
rusty-man 0.5.0-1
rye 0.41.0-1
safeeyes 2.2.2-3
sassc 3.6.2-5
sccache 0.8.2-1
sd 1.0.0-1
sddm 0.21.0-4
sddm-conf-git 0.2.0.r8.g162bdd5-1
sddm-theme-catppuccin-git 1.0.0.r6.g7435112-1
sddm-theme-tokyo-night r6.320c8e7-1
showmethekey 1.14.0-1
skim 0.10.4-3
slurp 1.5.0-1
socat 1.8.0.1-1
spdlog 1.14.1-3
speech-dispatcher 0.11.5-2
spotify-launcher 0.6.0-1
starship 1.20.1-1
steam 1.0.0.81-2
swappy 1.5.1-2
sway-audio-idle-inhibit-git 0.1.2.r46.e660559-1
swayidle 1.8.0-2
swaylock-effects 1.7.0.0-4
swaync 0.10.1-3
sxhkd 0.6.2-4
systemd-boot-pacman-hook 3-1
systemd-resolvconf 256.7-1
systemd-ui 3-5
tealdeer 1.7.0-1
terraform 1.9.6-1
texinfo 7.1.1-1
thermald 2.5.8-1
tmux 3.5_a-1
tmux-plugin-manager 3.1.0-1
tokei 12.1.2-2
topgrade-bin 16.0.1-1
traceroute 2.1.5-1
transmission-cli 4.0.6-2
trash-cli 0.24.5.26-1
tree 2.1.3-1
tree-sitter 0.24.3-1
tree-sitter-cli 0.24.3-1
ttf-3270-nerd 3.2.1-2
ttf-agave-nerd 3.2.1-2
ttf-anonymouspro-nerd 3.2.1-2
ttf-arimo-nerd 3.2.1-2
ttf-bigblueterminal-nerd 3.2.1-2
ttf-bitstream-vera-mono-nerd 3.2.1-2
ttf-cascadia-code-nerd 3.2.1-2
ttf-cousine-nerd 3.2.1-2
ttf-daddytime-mono-nerd 3.2.1-2
ttf-dejavu-nerd 3.2.1-2
ttf-fantasque-nerd 3.2.1-2
ttf-fantasque-sans-mono 1.8.0-3
ttf-firacode-nerd 3.2.1-2
ttf-go-nerd 3.2.1-2
ttf-google-fonts-typewolf 20240105-1
ttf-hack-nerd 3.2.1-2
ttf-heavydata-nerd 3.2.1-2
ttf-iawriter-nerd 3.2.1-2
ttf-ibmplex-mono-nerd 3.2.1-2
ttf-inconsolata-go-nerd 3.2.1-2
ttf-inconsolata-lgc-nerd 3.2.1-2
ttf-inconsolata-nerd 3.2.1-2
ttf-iosevka-nerd 3.2.1-2
ttf-iosevkaterm-nerd 3.2.1-2
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.2.1-2
ttf-lekton-nerd 3.2.1-2
ttf-liberation-mono-nerd 3.2.1-2
ttf-lilex-nerd 3.2.1-2
ttf-maple 6.4-2
ttf-meslo-nerd 3.2.1-2
ttf-monofur-nerd 3.2.1-2
ttf-monoid-nerd 3.2.1-2
ttf-mononoki-nerd 3.2.1-2
ttf-mplus-nerd 3.2.1-2
ttf-ms-win11-auto 10.0.22631.2428-2
ttf-nerd-fonts-symbols 3.2.1-1
ttf-nerd-fonts-symbols-mono 3.2.1-1
ttf-noto-nerd 3.2.1-2
ttf-profont-nerd 3.2.1-2
ttf-proggyclean-nerd 3.2.1-2
ttf-roboto-mono-nerd 3.2.1-2
ttf-sharetech-mono-nerd 3.2.1-2
ttf-sourcecodepro-nerd 3.2.1-2
ttf-space-mono-nerd 3.2.1-2
ttf-tamzen-font-git 1:1.11.6.r1.3255e82-1
ttf-terminus-nerd 3.2.1-2
ttf-tinos-nerd 3.2.1-2
ttf-twemoji 15.1.0-1
ttf-ubuntu-mono-nerd 3.2.1-2
ttf-ubuntu-nerd 3.2.1-2
ttf-victor-mono 1.5.6-1
ttf-victor-mono-nerd 3.2.1-2
udiskie 2.5.3-1
udisks2 2.10.1-5
unzip 6.0-21
vlc 3.0.21-6
vulkan-intel 1:24.2.4-1
vulkan-tools 1.3.269-1
waifu2x-ncnn-vulkan 20220728-3
waybar 0.11.0-3
wezterm 20240203.110809.5046fc22-2
wf-recorder 0.5.0-1
wget 1.24.5-3
wireguard-tools 1.0.20210914-2
wireplumber 0.5.6-1
wl-clip-persist-git 0.4.3.r0.gd9fc917-1
wl-clipboard 1:2.2.1-2
wlogout 1.2.2-0
wlr-randr 0.4.1-4
wlrctl 0.2.2-2
wofi 1.4.1-1
wqy-zenhei 0.9.45-10
wtype 0.4-2
xcompmgr 1.1.9-3
xdg-desktop-portal-gtk 1.15.1-2
xdg-desktop-portal-hyprland 1.3.5-1
xdg-user-dirs 0.18-2
xkeysnail 0.4.0-3
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-xhost 1.0.9-2
xorg-xinit 1.4.2-2
xorg-xlsclients 1.1.5-2
xxd-standalone 9.1.0023-1
yt-dlp 2024.10.07-1
zathura 0.5.8-1
zathura-pdf-mupdf 0.4.4-4
zellij 0.40.1-1
zip 3.0-11
zoxide 0.9.6-1
zsh 5.9-5
